Nes,M,pA,rep,sweeps
200.0,1,0.0001,750,86
200.0,1,0.0001,751,88
200.0,1,0.0001,752,96
200.0,1,0.0001,753,80
200.0,1,0.0001,754,87
200.0,1,0.0001,755,88
200.0,1,0.0001,756,75
200.0,1,0.0001,757,78
200.0,1,0.0001,758,78
200.0,1,0.0001,759,74
200.0,1,0.0001,760,94
200.0,1,0.0001,761,76
200.0,1,0.0001,762,77
200.0,1,0.0001,763,107
200.0,1,0.0001,764,92
200.0,1,0.0001,765,99
200.0,1,0.0001,766,99
200.0,1,0.0001,767,77
200.0,1,0.0001,768,87
200.0,1,0.0001,769,94
200.0,1,0.0001,770,95
200.0,1,0.0001,771,102
200.0,1,0.0001,772,77
200.0,1,0.0001,773,89
200.0,1,0.0001,774,80
200.0,1,0.0001,775,81
200.0,1,0.0001,776,66
200.0,1,0.0001,777,95
200.0,1,0.0001,778,89
200.0,1,0.0001,779,81
200.0,1,0.0001,780,69
200.0,1,0.0001,781,96
200.0,1,0.0001,782,80
200.0,1,0.0001,783,69
200.0,1,0.0001,784,79
200.0,1,0.0001,785,90
200.0,1,0.0001,786,90
200.0,1,0.0001,787,75
200.0,1,0.0001,788,99
200.0,1,0.0001,789,101
200.0,1,0.0001,790,85
200.0,1,0.0001,791,87
200.0,1,0.0001,792,78
200.0,1,0.0001,793,79
200.0,1,0.0001,794,72
200.0,1,0.0001,795,98
200.0,1,0.0001,796,93
200.0,1,0.0001,797,81
200.0,1,0.0001,798,92
200.0,1,0.0001,799,71
200.0,1,0.0001,800,69
200.0,1,0.0001,801,93
200.0,1,0.0001,802,81
200.0,1,0.0001,803,72
200.0,1,0.0001,804,89
200.0,1,0.0001,805,77
200.0,1,0.0001,806,76
200.0,1,0.0001,807,81
200.0,1,0.0001,808,88
200.0,1,0.0001,809,81
200.0,1,0.0001,810,93
200.0,1,0.0001,811,77
200.0,1,0.0001,812,65
200.0,1,0.0001,813,76
200.0,1,0.0001,814,81
200.0,1,0.0001,815,64
200.0,1,0.0001,816,85
200.0,1,0.0001,817,74
200.0,1,0.0001,818,91
200.0,1,0.0001,819,70
200.0,1,0.0001,820,75
200.0,1,0.0001,821,82
200.0,1,0.0001,822,83
200.0,1,0.0001,823,87
200.0,1,0.0001,824,64
200.0,1,0.0001,825,81
200.0,1,0.0001,826,83
200.0,1,0.0001,827,71
200.0,1,0.0001,828,105
200.0,1,0.0001,829,87
200.0,1,0.0001,830,76
200.0,1,0.0001,831,93
200.0,1,0.0001,832,95
200.0,1,0.0001,833,80
200.0,1,0.0001,834,76
200.0,1,0.0001,835,78
200.0,1,0.0001,836,87
200.0,1,0.0001,837,86
200.0,1,0.0001,838,82
200.0,1,0.0001,839,88
200.0,1,0.0001,840,90
200.0,1,0.0001,841,82
200.0,1,0.0001,842,92
200.0,1,0.0001,843,93
200.0,1,0.0001,844,105
200.0,1,0.0001,845,81
200.0,1,0.0001,846,88
200.0,1,0.0001,847,102
200.0,1,0.0001,848,61
200.0,1,0.0001,849,90
200.0,1,0.0001,850,95
200.0,1,0.0001,851,72
200.0,1,0.0001,852,75
200.0,1,0.0001,853,93
200.0,1,0.0001,854,77
200.0,1,0.0001,855,90
200.0,1,0.0001,856,88
200.0,1,0.0001,857,83
200.0,1,0.0001,858,82
200.0,1,0.0001,859,89
200.0,1,0.0001,860,89
200.0,1,0.0001,861,68
200.0,1,0.0001,862,96
200.0,1,0.0001,863,81
200.0,1,0.0001,864,76
200.0,1,0.0001,865,92
200.0,1,0.0001,866,90
200.0,1,0.0001,867,91
200.0,1,0.0001,868,65
200.0,1,0.0001,869,87
200.0,1,0.0001,870,63
200.0,1,0.0001,871,87
200.0,1,0.0001,872,93
200.0,1,0.0001,873,75
200.0,1,0.0001,874,72
200.0,1,0.0001,875,93
200.0,1,0.0001,876,80
