name,rep,s,Ua,distance,fstOutliers
c0/run13.s0.006.Ua10.0.d200.csv,13,0.006,10.0,200,132
c0/run21.s0.002.Ua0.1.d100.csv,21,0.002,0.1,100,0
c0/run9.s0.0006.Ua1.0.d100.csv,9,0.0006,1.0,100,0
c0/run19.s0.0002.Ua1.0.d400.csv,19,0.0002,1.0,400,1
c0/run16.s0.0006.Ua1.0.d300.csv,16,0.0006,1.0,300,4
c0/run27.s0.002.Ua0.1.d100.csv,27,0.002,0.1,100,0
c0/run26.s0.002.Ua10.0.d100.csv,26,0.002,10.0,100,14
c0/run2.s0.0006.Ua10.0.d100.csv,2,0.0006,10.0,100,2
c0/run25.s0.0006.Ua10.0.d100.csv,25,0.0006,10.0,100,2
c0/run19.s0.002.Ua10.0.d400.csv,19,0.002,10.0,400,158
c0/run15.s0.002.Ua1.0.d200.csv,15,0.002,1.0,200,7
c0/run22.s0.006.Ua1.0.d300.csv,22,0.006,1.0,300,10
c0/run4.s0.02.Ua0.1.d400.csv,4,0.02,0.1,400,2
c0/run2.s0.0002.Ua1.0.d200.csv,2,0.0002,1.0,200,0
c0/run19.s0.006.Ua1.0.d300.csv,19,0.006,1.0,300,21
c0/run12.s0.0006.Ua1.0.d200.csv,12,0.0006,1.0,200,1
c0/run26.s0.0002.Ua10.0.d400.csv,26,0.0002,10.0,400,25
c0/run5.s0.02.Ua0.1.d300.csv,5,0.02,0.1,300,3
c0/run10.s0.0002.Ua1.0.d400.csv,10,0.0002,1.0,400,1
c0/run2.s0.006.Ua10.0.d100.csv,2,0.006,10.0,100,50
c0/run30.s0.002.Ua1.0.d300.csv,30,0.002,1.0,300,10
c0/run7.s0.0006.Ua10.0.d200.csv,7,0.0006,10.0,200,25
c0/run5.s0.002.Ua0.1.d400.csv,5,0.002,0.1,400,1
c0/run17.s0.0006.Ua0.1.d400.csv,17,0.0006,0.1,400,2
c0/run13.s0.02.Ua1.0.d100.csv,13,0.02,1.0,100,8
c0/run5.s0.006.Ua1.0.d300.csv,5,0.006,1.0,300,21
c0/run9.s0.0002.Ua10.0.d100.csv,9,0.0002,10.0,100,0
c0/run9.s0.0006.Ua1.0.d300.csv,9,0.0006,1.0,300,2
c0/run22.s0.002.Ua10.0.d100.csv,22,0.002,10.0,100,15
c0/run5.s0.0006.Ua0.1.d200.csv,5,0.0006,0.1,200,2
c0/run28.s0.0002.Ua0.1.d200.csv,28,0.0002,0.1,200,0
c0/run16.s0.0006.Ua0.1.d300.csv,16,0.0006,0.1,300,0
c0/run9.s0.006.Ua1.0.d100.csv,9,0.006,1.0,100,1
c0/run11.s0.0006.Ua1.0.d100.csv,11,0.0006,1.0,100,0
c0/run30.s0.002.Ua1.0.d400.csv,30,0.002,1.0,400,11
c0/run8.s0.002.Ua10.0.d100.csv,8,0.002,10.0,100,19
c0/run25.s0.0002.Ua1.0.d100.csv,25,0.0002,1.0,100,0
c0/run29.s0.02.Ua0.1.d300.csv,29,0.02,0.1,300,1
c0/run4.s0.002.Ua0.1.d400.csv,4,0.002,0.1,400,2
c0/run22.s0.0002.Ua10.0.d300.csv,22,0.0002,10.0,300,12
c0/run20.s0.006.Ua1.0.d100.csv,20,0.006,1.0,100,6
c0/run4.s0.006.Ua1.0.d200.csv,4,0.006,1.0,200,14
c0/run23.s0.0006.Ua10.0.d300.csv,23,0.0006,10.0,300,40
c0/run8.s0.0002.Ua10.0.d300.csv,8,0.0002,10.0,300,11
c0/run7.s0.02.Ua0.1.d100.csv,7,0.02,0.1,100,3
c0/run16.s0.002.Ua10.0.d200.csv,16,0.002,10.0,200,75
c0/run30.s0.006.Ua1.0.d400.csv,30,0.006,1.0,400,19
c0/run10.s0.002.Ua1.0.d100.csv,10,0.002,1.0,100,2
c0/run7.s0.0006.Ua0.1.d400.csv,7,0.0006,0.1,400,1
c0/run30.s0.0002.Ua0.1.d100.csv,30,0.0002,0.1,100,0
c0/run19.s0.0006.Ua0.1.d100.csv,19,0.0006,0.1,100,0
c0/run1.s0.02.Ua1.0.d300.csv,1,0.02,1.0,300,28
c0/run12.s0.002.Ua10.0.d100.csv,12,0.002,10.0,100,15
c0/run10.s0.0006.Ua0.1.d300.csv,10,0.0006,0.1,300,0
c0/run22.s0.002.Ua10.0.d200.csv,22,0.002,10.0,200,67
c0/run18.s0.02.Ua1.0.d400.csv,18,0.02,1.0,400,28
c0/run20.s0.0002.Ua1.0.d400.csv,20,0.0002,1.0,400,2
c0/run21.s0.0002.Ua10.0.d100.csv,21,0.0002,10.0,100,0
c0/run17.s0.002.Ua0.1.d100.csv,17,0.002,0.1,100,0
c0/run26.s0.006.Ua10.0.d100.csv,26,0.006,10.0,100,47
c0/run3.s0.02.Ua0.1.d300.csv,3,0.02,0.1,300,2
c0/run9.s0.02.Ua0.1.d200.csv,9,0.02,0.1,200,2
c0/run20.s0.0002.Ua0.1.d200.csv,20,0.0002,0.1,200,1
c0/run5.s0.0006.Ua1.0.d100.csv,5,0.0006,1.0,100,0
c0/run3.s0.0002.Ua0.1.d200.csv,3,0.0002,0.1,200,0
c0/run25.s0.0006.Ua10.0.d200.csv,25,0.0006,10.0,200,17
c0/run12.s0.002.Ua1.0.d200.csv,12,0.002,1.0,200,5
c0/run12.s0.0002.Ua0.1.d100.csv,12,0.0002,0.1,100,0
c0/run17.s0.002.Ua0.1.d200.csv,17,0.002,0.1,200,0
c0/run3.s0.006.Ua0.1.d200.csv,3,0.006,0.1,200,1
c0/run25.s0.002.Ua0.1.d300.csv,25,0.002,0.1,300,1
