shat,w_size,M,pA,rep,o999,o9999,o99999,o999_irs,o9999_irs,o99999_irs
0.02,10000.0,10,0.001,231,0.00945,0.004975,0.001525,0.003675,0.002,0.000675
0.02,10000.0,10,0.001,232,0.008775,0.004475,0.00155,0.0028,0.001625,0.0008
0.02,10000.0,10,0.001,233,0.009675,0.00525,0.001425,0.00375,0.0023,0.0007
0.02,10000.0,10,0.001,234,0.00905,0.004425,0.00125,0.003375,0.00185,0.000775
0.02,10000.0,10,0.001,235,0.008975,0.004225,0.001125,0.00325,0.001825,0.00055
0.02,10000.0,10,0.001,236,0.008275,0.0043,0.0017,0.003175,0.0019,0.000975
0.02,10000.0,10,0.001,237,0.008725,0.00415,0.001175,0.003225,0.001725,0.0006
0.02,10000.0,10,0.001,238,0.0088,0.004675,0.001525,0.0037,0.002175,0.00065
0.02,10000.0,10,0.001,239,0.009325,0.00495,0.00175,0.003475,0.002025,0.000775
0.02,10000.0,10,0.001,240,0.008775,0.004125,0.00115,0.003075,0.001675,0.000575
0.02,10000.0,10,0.001,241,0.009525,0.0048,0.001275,0.003425,0.0018,0.000575
0.02,10000.0,10,0.001,242,0.008225,0.003775,0.001,0.002925,0.001525,0.000425
0.02,10000.0,10,0.001,243,0.00905,0.0044,0.001425,0.003675,0.0022,0.000775
0.02,10000.0,10,0.001,244,0.009275,0.004225,0.0012,0.0037,0.001825,0.000725
0.02,10000.0,10,0.001,245,0.008925,0.00425,0.00135,0.003575,0.001775,0.000675
0.02,10000.0,10,0.001,246,0.008375,0.0041,0.001325,0.0031,0.00175,0.000625
0.02,10000.0,10,0.001,247,0.010025,0.00485,0.00145,0.003925,0.00195,0.000675
0.02,10000.0,10,0.001,248,0.00905,0.004525,0.00115,0.003125,0.0016,0.000475
0.02,10000.0,10,0.001,249,0.009325,0.004475,0.001625,0.003575,0.0018,0.000675
0.02,10000.0,10,0.001,250,0.009325,0.004025,0.0012,0.0034,0.0016,0.00065
0.02,10000.0,10,0.001,251,0.009225,0.0042,0.0011,0.003375,0.001825,0.0006
0.02,10000.0,10,0.001,252,0.009,0.004475,0.00145,0.003275,0.001775,0.000725
0.02,10000.0,10,0.001,253,0.0078,0.00355,0.000925,0.00285,0.001425,0.0004
0.02,10000.0,10,0.001,254,0.0096,0.005075,0.0015,0.003525,0.002075,0.0008
0.02,10000.0,10,0.001,255,0.009475,0.0045,0.001475,0.003425,0.00185,0.00065
0.02,10000.0,10,0.001,256,0.008875,0.00415,0.001025,0.0034,0.001775,0.00065
0.02,10000.0,10,0.001,257,0.00885,0.00395,0.001125,0.002875,0.001475,0.00045
0.02,10000.0,10,0.001,258,0.009575,0.0044,0.0013,0.0037,0.0021,0.0005
0.02,10000.0,10,0.001,259,0.0095,0.00425,0.00125,0.003625,0.0017,0.0006
0.02,10000.0,10,0.001,260,0.00905,0.0044,0.00095,0.003275,0.0019,0.00055
0.02,10000.0,10,0.001,261,0.0097,0.004575,0.00135,0.0034,0.001875,0.0006
0.02,10000.0,10,0.001,262,0.0093,0.004625,0.001425,0.003575,0.001975,0.000775
0.02,10000.0,10,0.001,263,0.009525,0.0047,0.00145,0.00355,0.002075,0.0008
0.02,10000.0,10,0.001,264,0.0078,0.00405,0.00115,0.00265,0.001425,0.000475
0.02,10000.0,10,0.001,265,0.009375,0.004675,0.001675,0.003525,0.001975,0.000875
0.02,10000.0,10,0.001,266,0.008875,0.004725,0.0014,0.0036,0.002275,0.00065
0.02,10000.0,10,0.001,267,0.009075,0.004375,0.00105,0.0034,0.002025,0.00055
0.02,10000.0,10,0.001,268,0.009775,0.004775,0.001325,0.0038,0.0021,0.000775
0.02,10000.0,10,0.001,269,0.009125,0.004475,0.001225,0.003725,0.002025,0.0007
0.02,10000.0,10,0.001,270,0.0092,0.00455,0.0016,0.003525,0.00195,0.0009
0.02,10000.0,10,0.001,271,0.009525,0.004175,0.0013,0.0035,0.0018,0.000675
0.02,10000.0,10,0.001,272,0.00915,0.00445,0.00145,0.0032,0.0019,0.00065
0.02,10000.0,10,0.001,273,0.009125,0.004725,0.0016,0.0034,0.00205,0.00075
0.02,10000.0,10,0.001,274,0.0087,0.004225,0.00095,0.003175,0.001775,0.00055
0.02,10000.0,10,0.001,275,0.008725,0.004725,0.001375,0.00335,0.002025,0.000675
0.02,10000.0,10,0.001,276,0.009075,0.004475,0.001425,0.0034,0.001975,0.0007
0.02,10000.0,10,0.001,277,0.008875,0.00415,0.0014,0.003525,0.00185,0.0008
0.02,10000.0,10,0.001,278,0.00915,0.004375,0.001375,0.003575,0.001925,0.000725
0.02,10000.0,10,0.001,279,0.00885,0.004125,0.00125,0.0035,0.00215,0.0008
0.02,10000.0,10,0.001,280,0.009675,0.0045,0.001475,0.003375,0.001975,0.00085
0.02,10000.0,10,0.001,281,0.009325,0.004275,0.001175,0.003675,0.001925,0.000675
0.02,10000.0,10,0.001,282,0.009475,0.0048,0.001575,0.003375,0.001975,0.0008
0.02,10000.0,10,0.001,283,0.0097,0.004825,0.0015,0.003925,0.00235,0.0008
0.02,10000.0,10,0.001,284,0.009075,0.004625,0.001575,0.0034,0.001925,0.00065
0.02,10000.0,10,0.001,285,0.009375,0.004475,0.001225,0.003025,0.00155,0.000425
0.02,10000.0,10,0.001,286,0.0091,0.0045,0.00135,0.003625,0.0021,0.000725
0.02,10000.0,10,0.001,287,0.0094,0.00495,0.001375,0.003425,0.0019,0.000675
0.02,10000.0,10,0.001,288,0.00855,0.004025,0.001375,0.003225,0.001625,0.00065
0.02,10000.0,10,0.001,289,0.009425,0.004675,0.001475,0.00355,0.001825,0.000725
0.02,10000.0,10,0.001,290,0.0097,0.004425,0.001225,0.003475,0.00165,0.000525
0.02,10000.0,10,0.001,291,0.00995,0.004525,0.00125,0.003375,0.001675,0.000725
0.02,10000.0,10,0.001,292,0.0089,0.004125,0.001425,0.002925,0.00145,0.00055
